"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2013","9,188.9","9,174.8","9,233.9","9,168.0","","0.46%"
"04/24/2013","9,146.5","9,113.8","9,163.7","9,113.8","","0.36%"
"04/23/2013","9,113.8","9,048.6","9,115.0","9,041.5","","1.04%"
"04/22/2013","9,019.9","9,005.7","9,037.9","8,939.1","","0.29%"
"04/19/2013","8,994.1","8,943.9","8,995.8","8,927.2","","0.82%"
"04/18/2013","8,921.2","8,966.6","8,969.1","8,890.5","","-0.30%"
"04/17/2013","8,948.4","9,032.5","9,032.5","8,899.8","","-1.52%"
"04/16/2013","9,086.4","9,024.9","9,089.8","9,007.9","","1.48%"
"04/15/2013","8,953.9","9,131.6","9,131.6","8,953.4","","-2.55%"
"04/12/2013","9,188.3","9,193.9","9,203.6","9,137.8","","-0.49%"
"04/11/2013","9,234.0","9,197.1","9,256.1","9,190.9","","0.49%"
"04/10/2013","9,189.1","9,111.6","9,194.6","9,111.6","","1.11%"
"04/09/2013","9,088.4","9,061.2","9,117.6","9,037.4","","0.41%"
"04/08/2013","9,051.6","8,995.9","9,051.6","8,975.5","","0.57%"
"04/05/2013","9,000.2","8,951.2","9,006.4","8,906.4","","-0.31%"
"04/04/2013","9,027.8","8,987.7","9,038.8","8,981.7","","0.49%"
"04/03/2013","8,983.4","9,094.6","9,100.4","8,963.2","","-1.20%"
"04/02/2013","9,092.9","9,085.5","9,122.3","9,071.5","","-0.16%"
"04/01/2013","9,107.8","9,098.1","9,107.8","9,038.6","","0.01%"
"03/28/2013","9,107.0","9,070.5","9,112.5","9,062.0","","0.40%"
"03/27/2013","9,070.5","9,030.2","9,077.5","9,002.2","","-0.15%"
"03/26/2013","9,083.7","9,044.4","9,083.7","9,038.0","","0.67%"
"03/25/2013","9,023.0","9,082.4","9,105.3","8,989.8","","-0.47%"
"03/22/2013","9,065.8","9,032.8","9,075.9","9,032.8","","0.62%"
"03/21/2013","9,009.7","9,044.8","9,066.5","8,999.3","","-0.79%"
"03/20/2013","9,081.1","9,050.1","9,094.3","9,050.1","","0.70%"
"03/19/2013","9,017.7","9,059.7","9,073.6","8,968.4","","-0.31%"
"03/18/2013","9,045.4","9,041.9","9,086.6","9,017.8","","-0.78%"
"03/15/2013","9,116.7","9,112.1","9,128.8","9,091.0","","-0.12%"
"03/14/2013","9,128.0","9,077.0","9,128.9","9,076.4","","0.78%"
"03/13/2013","9,057.0","9,053.8","9,067.0","9,024.3","","-0.03%"
"03/12/2013","9,060.0","9,080.5","9,093.6","9,041.3","","-0.24%"
"03/11/2013","9,082.2","9,047.0","9,084.2","9,033.6","","0.31%"
"03/08/2013","9,054.5","9,037.0","9,060.6","9,009.4","","0.46%"
"03/07/2013","9,013.4","9,003.4","9,021.4","9,001.2","","0.18%"
"03/06/2013","8,997.0","9,002.0","9,014.5","8,973.6","","0.21%"
"03/05/2013","8,978.1","8,940.0","9,000.6","8,940.0","","0.87%"
