08/02/1993,Time,14:16,Type,Tupolev Tu-154M,Owner/operator,Iran Airtour,Registration,EP-ITD,MSN,91A903,Year of manufacture,1991,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 131 / Occupants: 131,Other fatalities,2,Aircraft damage,Destroyed, written off,Category,Accident,Location,15 km from Tehran-Mehrabad Airport (THR) -  ,"	   Iran",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Tehran-Mehrabad Airport (THR/OIII),Destination airport,Mashhad Airport (MHD/OIMM),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,,
05/03/1993,Time,11:12,Type,Fokker 100,Owner/operator,Palair Macedonian Airlines,Registration,PH-KXL,MSN,11393,Year of manufacture,1992,Total airframe hrs,188 hours,Cycles,136 flights,Engine model,Rolls-Royce Tay 620-15,Fatalities,Fatalities: 83 / Occupants: 97,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Skopje Airport (SKP) -  ,"	   North Macedonia",Phase,Initial climb,Nature,Passenger - Scheduled,Departure airport,Skopje Airport (SKP/LWSK),Destination airport,Zürich-Kloten Airport (ZRH/LSZH),Investigating agency,RvdL,Confidence Rating,Accident investigation report completed and information captured,,,,
26/04/1993,Time,13:06,Type,Boeing 737-2A8,Owner/operator,Indian Airlines,Registration,VT-ECQ,MSN,20961/375,Year of manufacture,1974,Total airframe hrs,43886 hours,Engine model,Pratt & Whitney JT8D-9A,Fatalities,Fatalities: 55 / Occupants: 118,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,3 km NE of Aurangabad Airport (IXU) -  ,"	   India",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Aurangabad-Chikkalthana Airport (IXU/VAAU),Destination airport,Bombay-Sahar International Airport (BOM/VABB),Investigating agency,CoI India,Confidence Rating,Accident investigation report completed and information captured,,,,,,
27/04/1993,Time,,Type,Antonov An-32,Owner/operator,Democratic Republic of Afghanistan Air Force - DRAAF,Registration,,MSN,,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 76 / Occupants: 76,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Tashqurghan -  ,"	   Afghanistan",Phase,En route,Nature,Military,Departure airport,Kabul Airport (KBL/OAKB),Destination airport,Mazar-I-Sharif Airport (MZR/OAMS),,,,,,,,,,,,,,
19/05/1993,Time,15:06,Type,Boeing 727-46,Owner/operator,SAM Colombia,Registration,HK-2422X,MSN,18876/217,Year of manufacture,1965,Total airframe hrs,53930 hours,Engine model,P&W JT8D-7,Fatalities,Fatalities: 132 / Occupants: 132,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,60 km NW of Medellín -  ,"	   Colombia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Panama City-Tocumen International Airport (PTY/MPTO),Destination airport,Rionegro/Medellín-José María Córdova Airport (MDE/SKRG),Investigating agency,Aerocivil,Confidence Rating,Accident investigation report completed and information captured,,,,,,
23/07/1993,Time,15:40,Type,British Aerospace BAe-146-300,Owner/operator,China Northwest Airlines,Registration,B-2716,MSN,E3215,Year of manufacture,1992,Engine model,Lycoming LF507-1H,Fatalities,Fatalities: 56 / Occupants: 113,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Yinchuan Airport (INC) -  ,"	   China",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Yinchuan Airport (JIC/ZLIC),Destination airport,Beijing-Capital International Airport (PEK/ZBAA),,,,,,,,,,,,
26/07/1993,Time,15:48,Type,Boeing 737-5L9,Owner/operator,Asiana Airlines,Registration,HL7229,MSN,24805/1878,Year of manufacture,1990,Total airframe hrs,7301 hours,Cycles,5707 flights,Engine model,CFMI CFM56-3B1,Fatalities,Fatalities: 68 / Occupants: 116,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,7,5 km SW of Mokpo Airport (MPK) -  ,"	   South Korea",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS),Destination airport,Mokpo Airport (MPK/RKJM),Confidence Rating,Accident investigation report completed and information captured,,,,,
28/08/1993,Time,10:46,Type,Yakovlev Yak-40,Owner/operator,Tajikistan Airlines,Registration,87995,MSN,9541944,Year of manufacture,1975,Engine model,Ivchenko AI-25,Fatalities,Fatalities: 82 / Occupants: 86,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,near Khorog -  ,"	   Tajikistan",Phase,Take off,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Khorog Airport (UTOD),Destination airport,Dushanbe Airport (DYU/UTDD),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,,
22/09/1993,Time,18:30,Type,Tupolev Tu-154B,Owner/operator,Orbi Georgian Airways,Registration,85163,MSN,76A163,Year of manufacture,1976,Engine model,Kuznetsov NK-8-2U,Fatalities,Fatalities: 108 / Occupants: 132,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,Sukhumi-Babusheri Airport (SUI) -  ,"	   Georgia",Phase,Approach,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Tbilisi-Novo Alexeyevka Airport (TBS/UGGG),Destination airport,Sukhumi-Babusheri Airport (SUI/UGSS),,,,,,,,,,,,
20/11/1993,Time,23:30,Type,Yakovlev Yak-42D,Owner/operator,Avioimpex, lsf Saravia - Saratov Airlines,Registration,RA-42390,MSN,4.52042E+12,Year of manufacture,1991,Engine model,Lotarev D-36,Fatalities,Fatalities: 116 / Occupants: 116,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,2 km E of Ohrid Airport (OHD) -  ,"	   North Macedonia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Genève-Cointrin Airport (GVA/LSGG),Destination airport,Skopje Airport (SKP/LWSK),,,,,,,,,,,
03/01/1994,Time,12:08,Type,Tupolev Tu-154M,Owner/operator,Baikal Airlines,Registration,RA-85656,MSN,89A801,Year of manufacture,1989,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 124 / Occupants: 124,Other fatalities,1,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Mamony -  ,"	   Russia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Irkutsk Airport (IKT/UIII),Destination airport,Moskva-Domodedovo Airport (DME/UUDD),Confidence Rating,Accident investigation report completed and information captured,,,,,,,,,,
