Date,Time,Fatalities,IsraelDate,IsraelTime
8/2/1993,14:16, 131 ,08/02/1993,12:46:00
5/3/1993,11:12, 83 ,05/03/1993,12:12:00
26/4/1993,13:06, 55 ,26/04/1993,21:06:00
27/4/1993,12:00, 76 ,27/04/1993,11:00:00
19/5/1993,15:06, 132 ,19/05/1993,23:06:00
23/7/1993,15:40, 56 ,23/07/1993,10:40:00
26/7/1993,15:48, 68 ,26/07/1993,09:48:00
28/8/1993,10:46, 82 ,28/08/1993,08:46:00
22/9/1993,18:30, 108 ,22/09/1993,22:30:00
20/11/1993,23:30, 116 ,21/11/1993,00:30:00
3/1/1994,12:08, 124 ,03/01/1994,14:08:00
23/3/1994,00:57, 75 ,23/03/1994,02:57:00
26/4/1994,20:16, 264 ,26/04/1994,14:16:00
6/6/1994,08:22, 160 ,06/06/1994,03:22:00
1/7/1994,08:30, 80 ,01/07/1994,11:30:00
8/9/1994,19:03, 132 ,09/09/1994,06:03:00
12/10/1994,23:05, 66 ,12/10/1994,21:35:00
31/10/1994,15:59, 68 ,01/11/1994,03:59:00
29/12/1994,15:30, 57 ,29/12/1994,15:30
10/1/1995,19:38, 51 ,11/01/1995,02:38:00
31/3/1995,09:08, 60 ,31/03/1995,10:08:00
29/4/1995,12:00, 50 ,29/04/1995,10:00:00
9/8/1995,20:14, 65 ,10/08/1995,05:14:00
13/9/1995,12:00, 75 ,13/09/1995,09:00:00
8/11/1995,21:00, 53 ,09/11/1995,02:00:00
22/11/1995,17:20, 63 ,22/11/1995,14:20:00
3/12/1995,22:44, 71 ,03/12/1995,23:44:00
5/12/1995,17:54, 52 ,05/12/1995,15:54:00
7/12/1995,03:08, 98 ,07/12/1995,05:08:00
18/12/1995,12:00, 141 ,18/12/1995,13:00:00
20/12/1995,21:38, 159 ,21/12/1995,04:38:00
8/1/1996,12:43, 0 ,8/1/1996,12:43
6/2/1996,23:47, 189 ,06/02/1996,19:47:00
26/2/1996,18:55, 91 ,26/02/1996,18:55:00
29/2/1996,20:36, 123 ,01/03/1996,03:36:00
3/5/1996,12:00, 53 ,03/05/1996,13:00:00
11/5/1996,14:13, 110 ,12/05/1996,02:13:00
17/7/1996,20:31, 230 ,18/07/1996,08:31:00
29/8/1996,10:22, 141 ,29/08/1996,12:22:00
2/10/1996,01:11, 70 ,01/10/1996,21:11:00
31/10/1996,08:27, 95 ,31/10/1996,15:27:00
7/11/1996,17:03, 144 ,07/11/1996,18:03:00
12/11/1996,18:40, 37 ,13/11/1996,01:40:00
12/11/1996,18:40, 312 ,13/11/1996,01:40:00
23/11/1996,15:15, 125 ,23/11/1996,14:15:00
13/3/1997,18:00, 86 ,13/03/1997,16:30:00
18/3/1997,10:03, 50 ,18/03/1997,12:03:00
6/8/1997,01:42, 228 ,05/08/1997,18:42:00
3/9/1997,14:00, 65 ,03/09/1997,10:00:00
26/9/1997,13:34, 234 ,26/09/1997,08:34:00
10/10/1997,22:10, 74 ,11/10/1997,03:10:00
6/12/1997,14:42, 23 ,06/12/1997,16:42:00
15/12/1997,18:35, 85 ,15/12/1997,16:35:00
17/12/1997,21:12, 70 ,17/12/1997,21:12:00
19/12/1997,16:13, 104 ,19/12/1997,11:13:00
13/1/1998,22:00, 51 ,13/01/1998,19:00:00
2/2/1998,11:00, 104 ,02/02/1998,05:00:00
16/2/1998,20:05, 196 ,16/02/1998,14:05:00
20/4/1998,16:45, 53 ,21/04/1998,00:45:00
5/5/1998,21:30, 75 ,06/05/1998,05:30:00
29/8/1998,13:03, 70 ,29/08/1998,21:03:00
2/9/1998,21:31, 229 ,03/09/1998,03:31:00
29/9/1998,13:54, 55 ,29/09/1998,10:54:00
11/12/1998,19:08, 101 ,11/12/1998,14:08:00
24/2/1999,16:34, 61 ,24/02/1999,10:34:00
3/6/1999,12:00, 50 ,03/06/1999,13:00:00
31/8/1999,20:54, 63 ,01/09/1999,02:54:00
31/10/1999,01:52, 217 ,30/10/1999,21:52:00
30/1/2000,21:09, 169 ,30/01/2000,23:09:00
31/1/2000,16:20, 88 ,01/02/2000,04:20:00
