Date,Price,Open,High,Low,Change
25/04/2013,"9,188.90","9,174.80","9,233.90","9,168.00",0.46%
24/04/2013,"9,146.50","9,113.80","9,163.70","9,113.80",0.36%
23/04/2013,"9,113.80","9,048.60","9,115.00","9,041.50",1.04%
22/04/2013,"9,019.90","9,005.70","9,037.90","8,939.10",0.29%
19/04/2013,"8,994.10","8,943.90","8,995.80","8,927.20",0.82%
18/04/2013,"8,921.20","8,966.60","8,969.10","8,890.50",-0.30%
17/04/2013,"8,948.40","9,032.50","9,032.50","8,899.80",-1.52%
16/04/2013,"9,086.40","9,024.90","9,089.80","9,007.90",1.48%
15/04/2013,"8,953.90","9,131.60","9,131.60","8,953.40",-2.55%
12/04/2013,"9,188.30","9,193.90","9,203.60","9,137.80",-0.49%
11/04/2013,"9,234.00","9,197.10","9,256.10","9,190.90",0.49%
10/04/2013,"9,189.10","9,111.60","9,194.60","9,111.60",1.11%
09/04/2013,"9,088.40","9,061.20","9,117.60","9,037.40",0.41%
08/04/2013,"9,051.60","8,995.90","9,051.60","8,975.50",0.57%
05/04/2013,"9,000.20","8,951.20","9,006.40","8,906.40",-0.31%
04/04/2013,"9,027.80","8,987.70","9,038.80","8,981.70",0.49%
03/04/2013,"8,983.40","9,094.60","9,100.40","8,963.20",-1.20%
02/04/2013,"9,092.90","9,085.50","9,122.30","9,071.50",-0.16%
01/04/2013,"9,107.80","9,098.10","9,107.80","9,038.60",0.01%
28/03/2013,"9,107.00","9,070.50","9,112.50","9,062.00",0.40%
27/03/2013,"9,070.50","9,030.20","9,077.50","9,002.20",-0.15%
26/03/2013,"9,083.70","9,044.40","9,083.70","9,038.00",0.67%
25/03/2013,"9,023.00","9,082.40","9,105.30","8,989.80",-0.47%
22/03/2013,"9,065.80","9,032.80","9,075.90","9,032.80",0.62%
21/03/2013,"9,009.70","9,044.80","9,066.50","8,999.30",-0.79%
20/03/2013,"9,081.10","9,050.10","9,094.30","9,050.10",0.70%
19/03/2013,"9,017.70","9,059.70","9,073.60","8,968.40",-0.31%
18/03/2013,"9,045.40","9,041.90","9,086.60","9,017.80",-0.78%
15/03/2013,"9,116.70","9,112.10","9,128.80","9,091.00",-0.12%
14/03/2013,"9,128.00","9,077.00","9,128.90","9,076.40",0.78%
13/03/2013,"9,057.00","9,053.80","9,067.00","9,024.30",-0.03%
12/03/2013,"9,060.00","9,080.50","9,093.60","9,041.30",-0.24%
11/03/2013,"9,082.20","9,047.00","9,084.20","9,033.60",0.31%
08/03/2013,"9,054.50","9,037.00","9,060.60","9,009.40",0.46%
07/03/2013,"9,013.40","9,003.40","9,021.40","9,001.20",0.18%
06/03/2013,"8,997.00","9,002.00","9,014.50","8,973.60",0.21%
05/03/2013,"8,978.10","8,940.00","9,000.60","8,940.00",0.87%
04/03/2013,"8,901.00","8,857.30","8,901.20","8,832.40",0.30%
01/03/2013,"8,874.20","8,827.80","8,881.10","8,779.80",0.06%
28/02/2013,"8,868.70","8,868.60","8,920.00","8,861.30",-0.07%
27/02/2013,"8,875.30","8,757.20","8,890.00","8,751.40",1.24%
26/02/2013,"8,766.20","8,751.20","8,779.10","8,700.70",0.54%
25/02/2013,"8,719.40","8,925.80","8,947.80","8,719.10",-1.97%
22/02/2013,"8,894.60","8,833.60","8,894.70","8,833.60",0.96%
21/02/2013,"8,810.30","8,852.70","8,852.70","8,778.00",-0.83%
20/02/2013,"8,883.60","8,992.00","8,992.90","8,879.90",-1.34%
19/02/2013,"9,004.40","8,947.30","9,004.40","8,947.30",0.80%
15/02/2013,"8,933.20","8,949.90","8,959.80","8,905.20",-0.22%
14/02/2013,"8,953.10","8,927.50","8,962.00","8,912.40",-0.03%
13/02/2013,"8,955.60","8,962.10","8,980.50","8,934.40",-0.02%
12/02/2013,"8,957.60","8,919.00","8,970.90","8,918.70",0.43%
11/02/2013,"8,919.00","8,922.60","8,926.00","8,898.50",-0.18%
08/02/2013,"8,935.20","8,905.60","8,937.00","8,905.60",0.47%
07/02/2013,"8,893.80","8,928.50","8,931.60","8,843.80",-0.45%
06/02/2013,"8,934.20","8,890.90","8,934.30","8,876.80",0.16%
05/02/2013,"8,920.10","8,883.90","8,938.60","8,883.90",0.76%
04/02/2013,"8,852.80","8,910.00","8,910.00","8,848.10",-1.25%
01/02/2013,"8,965.10","8,931.50","8,970.30","8,920.00",0.92%
31/01/2013,"8,883.80","8,896.90","8,910.70","8,873.00",-0.23%
30/01/2013,"8,904.30","8,930.80","8,944.30","8,895.50",-0.35%
29/01/2013,"8,935.60","8,883.50","8,941.10","8,882.90",0.63%
