Date, Index
06/01/2025,11.42
05/01/2025,11.9
02/01/2025,12.17
01/01/2025,12.62
31/12/2024,13.41
30/12/2024,14.17
29/12/2024,13.87
26/12/2024,13.36
25/12/2024,12.73
24/12/2024,12.58
23/12/2024,13
22/12/2024,12.92
19/12/2024,12.94
18/12/2024,12.53
17/12/2024,13.05
16/12/2024,13.44
15/12/2024,14
12/12/2024,12.78
11/12/2024,12.99
10/12/2024,13.14
09/12/2024,12.77
08/12/2024,12.87
05/12/2024,13
04/12/2024,13.7
03/12/2024,13.83
02/12/2024,14.82
01/12/2024,15.06
28/11/2024,15.17
27/11/2024,14.9
26/11/2024,14.57
25/11/2024,14.66
24/11/2024,14.38
21/11/2024,15.12
20/11/2024,15.41
19/11/2024,14.72
18/11/2024,14.92
17/11/2024,14.02
14/11/2024,14.18
13/11/2024,14.62
12/11/2024,14.53
11/11/2024,14.88
10/11/2024,13.78
07/11/2024,14.19
06/11/2024,14.89
05/11/2024,14.93
04/11/2024,14.16
03/11/2024,14.25
31/10/2024,14.42
30/10/2024,13.56
29/10/2024,15.22
28/10/2024,15.73
27/10/2024,16.26
22/10/2024,16.95
21/10/2024,16.21
20/10/2024,17.17
15/10/2024,14.64
14/10/2024,15.21
13/10/2024,15.57
10/10/2024,16.44
09/10/2024,17.01
08/10/2024,18.12
07/10/2024,18.57
06/10/2024,20.13
01/10/2024,19.19
30/09/2024,16.88
29/09/2024,17.26
26/09/2024,16.5
25/09/2024,19.02
24/09/2024,17.77
23/09/2024,19.82
22/09/2024,19.07
19/09/2024,20.81
18/09/2024,20.81
17/09/2024,21.44
16/09/2024,19.65
15/09/2024,17.44
12/09/2024,16.82
11/09/2024,17.7
10/09/2024,17.94
09/09/2024,18.17
08/09/2024,16.95
05/09/2024,15.03
04/09/2024,17.5
03/09/2024,17.89
02/09/2024,16.34
01/09/2024,18.76
29/08/2024,16.44
28/08/2024,18.25
27/08/2024,18.46
26/08/2024,19.29
25/08/2024,20.52
22/08/2024,20.69
21/08/2024,20.13
20/08/2024,18.1
19/08/2024,20.53
18/08/2024,18.35
15/08/2024,19.01
14/08/2024,21.06
12/08/2024,23.12
11/08/2024,20.44
08/08/2024,22.44
07/08/2024,24.01
06/08/2024,25.24
05/08/2024,26.5
04/08/2024,24.59
01/08/2024,22.67
31/07/2024,20.67
30/07/2024,20.97
29/07/2024,18.74
28/07/2024,20.34
25/07/2024,16.1
24/07/2024,16.78
23/07/2024,15.63
22/07/2024,15.55
21/07/2024,16.43
18/07/2024,15.44
17/07/2024,15.47
16/07/2024,15.43
15/07/2024,16.44
14/07/2024,17.2
11/07/2024,15.75
10/07/2024,17.61
09/07/2024,17.06
08/07/2024,17.57
07/07/2024,19.04
04/07/2024,18.66
03/07/2024,16.6
02/07/2024,17.15
01/07/2024,17.96
30/06/2024,18.12
27/06/2024,18.26
26/06/2024,17.84
25/06/2024,18.91
24/06/2024,20.68
23/06/2024,19.13
20/06/2024,18.18
19/06/2024,16.26
18/06/2024,16.47
17/06/2024,16.91
16/06/2024,18.74
13/06/2024,18.16
10/06/2024,20.04
09/06/2024,20.17
06/06/2024,22.04
05/06/2024,18.69
04/06/2024,17.02
03/06/2024,16.57
02/06/2024,16.16
30/05/2024,14.77
29/05/2024,14.94
28/05/2024,14.69
27/05/2024,14.84
26/05/2024,15.28
23/05/2024,16.18
22/05/2024,17.22
21/05/2024,17.83
20/05/2024,16.78
19/05/2024,17.57
16/05/2024,16.08
15/05/2024,15.32
12/05/2024,14.9
09/05/2024,15.08
08/05/2024,15.52
