Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,07/09/1993 00:00,221.5,,,,,,,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,08/09/1993 00:00,227.06,0.02510158,0,,,,,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,09/09/1993 00:00,226.77,-0.001277195,0.02510158,0,,,,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,12/09/1993 00:00,226.77,0,-0.001277195,0.02510158,0,,,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/09/1993 00:00,222.17,-0.02028487,0,-0.001277195,0.02510158,0,,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/09/1993 00:00,226.49,0.019444569,-0.02028487,0,-0.001277195,0.02510158,0,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,19/09/1993 00:00,226.49,0,0.019444569,-0.02028487,0,-0.001277195,0.02510158,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/09/1993 00:00,229.84,0.01479094,0,0.019444569,-0.02028487,0,-0.001277195,Monday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,21/09/1993 00:00,227.03,-0.012225896,0.01479094,0,0.019444569,-0.02028487,0,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,22/09/1993 00:00,227.61,0.002554728,-0.012225896,0.01479094,0,0.019444569,-0.02028487,Wednesday,0,0,0,-1,,,,,
Israel TA-125,ILS,Israel,23/09/1993 00:00,232.39,0.021000835,0.002554728,-0.012225896,0.01479094,0,0.019444569,Thursday,0,0,1,1,,,,,
Israel TA-125,ILS,Israel,26/09/1993 00:00,232.39,0,0.021000835,0.002554728,-0.012225896,0.01479094,0,Sunday,0,0,2,2,,,,,
Israel TA-125,ILS,Israel,27/09/1993 00:00,231.25,-0.004905547,0,0.021000835,0.002554728,-0.012225896,0.01479094,Monday,0,0,3,3,,,,,
Israel TA-125,ILS,Israel,28/09/1993 00:00,229.61,-0.007091892,-0.004905547,0,0.021000835,0.002554728,-0.012225896,Tuesday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,03/10/1993 00:00,229.61,0,-0.007091892,-0.004905547,0,0.021000835,0.002554728,Sunday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,04/10/1993 00:00,229.16,-0.001959845,0,-0.007091892,-0.004905547,0,0.021000835,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,05/10/1993 00:00,232.6,0.015011346,-0.001959845,0,-0.007091892,-0.004905547,0,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,10/10/1993 00:00,232.6,0,0.015011346,-0.001959845,0,-0.007091892,-0.004905547,Sunday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,11/10/1993 00:00,239.52,0.029750645,0,0.015011346,-0.001959845,0,-0.007091892,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,12/10/1993 00:00,239.75,0.000960254,0.029750645,0,0.015011346,-0.001959845,0,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/10/1993 00:00,239.57,-0.000750782,0.000960254,0.029750645,0,0.015011346,-0.001959845,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/10/1993 00:00,235.58,-0.01665484,-0.000750782,0.000960254,0.029750645,0,0.015011346,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,17/10/1993 00:00,235.58,0,-0.01665484,-0.000750782,0.000960254,0.029750645,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,18/10/1993 00:00,236.18,0.002546906,0,-0.01665484,-0.000750782,0.000960254,0.029750645,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,19/10/1993 00:00,238.05,0.00791769,0.002546906,0,-0.01665484,-0.000750782,0.000960254,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/10/1993 00:00,236.32,-0.007267381,0.00791769,0.002546906,0,-0.01665484,-0.000750782,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/10/1993 00:00,232.39,-0.016629993,-0.007267381,0.00791769,0.002546906,0,-0.01665484,Thursday,0,0,0,0,,,,,
